type,query,truth
radio,Query: Select exactly one option (a-e) that best describes the relationship of Grimes County Texas in relation to Zipcode 77861 in terms of geography. Options: a. north of b. northeast of c. inside of d. contains e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 12160 in relation to Zipcode 12157 in terms of geography. Options: a. adjacent to and east of b. adjacent to and south of c. adjacent to and southeast of d. northwest of e. none of the above,d
checkbox,Query: Select all options that are adjacent to and southwest of Zipcode 48658? You may choose one or more options. Options: a. Zipcode 48613 b. Zipcode 48610 c. Zipcode 48650 d. Zipcode 48659 e. None of the above,e
checkbox,Query: Select all options that are adjacent to and southeast of Zipcode 35476? You may choose one or more options. Options: a. Zipcode 35401 b. Zipcode 35406 c. Zipcode 35473 d. Zipcode 35452 e. None of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Penobscot County Maine in relation to Zipcode 04416 in terms of geography. Options: a. adjacent to and north of b. contains c. north of d. they intersect e. none of the above,a
yes/no,Is Zipcode 07722 adjacent to and east of Zipcode 07746?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 06451 in relation to Zipcode 06489 in terms of geography. Options: a. adjacent to and northeast of b. southwest of c. adjacent to and southeast of d. southeast of e. none of the above,c
checkbox,Query: Select all options that are adjacent to and southeast of Zipcode 95465? You may choose one or more options. Options: a. Zipcode 95472 b. Zipcode 95421 c. Zipcode 94922 d. Zipcode 95450 e. None of the above,"b,d"
checkbox,Query: Select all options that are adjacent to and northeast of Zipcode 45305? You may choose one or more options. Options: a. Zipcode 45385 b. Zipcode 45068 c. Zipcode 45459 d. Zipcode 45370 e. None of the above,e
checkbox,Query: Select all options that are adjacent to and northwest of The State of Minnesota? You may choose one or more options. Options: a. Zipcode 55982 b. Zipcode 56315 c. Zipcode 54614 d. Zipcode 56556 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 18235 in relation to Zipcode 18252 in terms of geography. Options: a. east of b. adjacent to and northwest of c. adjacent to and east of d. contains e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 92376 in relation to Zipcode 92404 in terms of geography. Options: a. adjacent to and southwest of b. adjacent to and northeast of c. northeast of d. they intersect e. none of the above,e
checkbox,Query: Select all options that are adjacent to and north of Zipcode 25024? You may choose one or more options. Options: a. Zipcode 25214 b. Zipcode 25049 c. Zipcode 25181 d. Zipcode 25009 e. None of the above,c
checkbox,Query: Select all options that are northwest of Zipcode 52726? You may choose one or more options. Options: a. Zipcode 52773 b. Zipcode 52728 c. Zipcode 52769 d. Zipcode 52804 e. None of the above,e
yes/no,Is New York County New York southwest of Zipcode 10458?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of Tennessee in relation to Zipcode 28679 in terms of geography. Options: a. adjacent to and west of b. northeast of c. adjacent to and northwest of d. inside of e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 51109 in relation to Zipcode 51108 in terms of geography. Options: a. adjacent to and northeast of b. adjacent to and west of c. adjacent to and southeast of d. adjacent to and south of e. none of the above,b
yes/no,Is Kingsbury County South Dakota adjacent to and south of Miner County South Dakota?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Sibley County Minnesota in relation to Brown County Minnesota in terms of geography. Options: a. south of b. northeast of c. inside of d. they intersect e. none of the above,b
checkbox,Query: Select all options that are adjacent to and east of Zipcode 61924? You may choose one or more options. Options: a. Zipcode 47928 b. Zipcode 61876 c. Zipcode 47847 d. Zipcode 61932 e. None of the above,e
yes/no,Is Caroline County Maryland west of Zipcode 19963?,yes
yes/no,"Butler County Missouri has no common ground with Zipcode 63953, correct?",no
checkbox,Query: Select all options that are adjacent to and southeast of Zipcode 91206? You may choose one or more options. Options: a. Zipcode 90041 b. Zipcode 91103 c. Zipcode 91210 d. Zipcode 90039 e. None of the above,e
yes/no,Is Zipcode 17271 adjacent to and southwest of Zipcode 17221?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of Alabama in relation to Zipcode 35057 in terms of geography. Options: a. west of b. northwest of c. adjacent to and southeast of d. contains e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 63755 in relation to Zipcode 63769 in terms of geography. Options: a. adjacent to and southwest of b. adjacent to and northwest of c. west of d. adjacent to and southeast of e. none of the above,d
checkbox,Query: Select all options that are southeast of The State of Illinois? You may choose one or more options. Options: a. Zipcode 52237 b. Zipcode 52747 c. Zipcode 52242 d. Zipcode 52750 e. None of the above,"a,b,c,d"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 34442 in relation to Zipcode 34473 in terms of geography. Options: a. southeast of b. adjacent to and southeast of c. west of d. north of e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 65775 in relation to Zipcode 72554 in terms of geography. Options: a. east of b. adjacent to and northwest of c. west of d. they intersect e. none of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 64048 in relation to Zipcode 64062 in terms of geography. Options: a. adjacent to and south of b. east of c. adjacent to and northwest of d. adjacent to and west of e. none of the above,d
checkbox,Query: Select all options that are adjacent to and northwest of Zipcode 47359? You may choose one or more options. Options: a. Zipcode 46792 b. Zipcode 47369 c. Zipcode 46714 d. Zipcode 47371 e. None of the above,e
yes/no,Is Zipcode 80916 west of Zipcode 80906?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Pima County Arizona in relation to Zipcode 85648 in terms of geography. Options: a. adjacent to and west of b. adjacent to and northwest of c. southwest of d. east of e. none of the above,b
yes/no,"Marathon County Wisconsin has no common ground with Zipcode 54488, correct?",no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 98576 in relation to Zipcode 98532 in terms of geography. Options: a. northwest of b. southwest of c. adjacent to and east of d. northeast of e. none of the above,d
yes/no,Is Zipcode 19707 adjacent to and west of Zipcode 19807?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 80917 in relation to Zipcode 80923 in terms of geography. Options: a. adjacent to and northeast of b. south of c. adjacent to and southwest of d. southeast of e. none of the above,c
yes/no,Is Zipcode 67563 adjacent to and north of Zipcode 67109?,yes
checkbox,Query: Select all options that are inside of Wood County Wisconsin? You may choose one or more options. Options: a. Zipcode 54440 b. Marathon County Wisconsin c. Zipcode 54410 d. The State of Wisconsin e. None of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 74059 in relation to Zipcode 74832 in terms of geography. Options: a. adjacent to and north of b. adjacent to and northwest of c. north of d. northeast of e. none of the above,a
yes/no,Is Zipcode 31503 adjacent to and east of Zipcode 31542?,no
yes/no,Is Terrell County Georgia east of Zipcode 39836?,yes
checkbox,Query: Select all options that are adjacent to and southwest of Zipcode 75417? You may choose one or more options. Options: a. Zipcode 75487 b. Zipcode 75426 c. Zipcode 75550 d. Zipcode 75436 e. None of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 98340 in relation to Zipcode 98346 in terms of geography. Options: a. east of b. contains c. adjacent to and south of d. adjacent to and northwest of e. none of the above,d
yes/no,Is Zipcode 31554 northeast of Zipcode 31642?,yes
yes/no,Is Randolph County Indiana adjacent to and north of Jay County Indiana?,no
yes/no,Is Pinellas County Florida east of Zipcode 33606?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of Maryland in relation to Zipcode 21912 in terms of geography. Options: a. intersects with b. contains c. south of d. northeast of e. none of the above,a
yes/no,Is Zipcode 75668 east of Zipcode 75657?,no
checkbox,Query: Select all options that intersect with The State of Wyoming? You may choose one or more options. Options: a. Zipcode 82190 b. Zipcode 82731 c. Zipcode 84046 d. Zipcode 82801 e. None of the above,"a,b,c,d"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Aguadilla Municipio Puerto Rico in relation to Rincón Municipio Puerto Rico in terms of geography. Options: a. adjacent to and southwest of b. west of c. southwest of d. adjacent to and northeast of e. none of the above,e
checkbox,Query: Select all options that are north of Manatee County Florida? You may choose one or more options. Options: a. Zipcode 34291 b. Zipcode 34292 c. Zipcode 34275 d. Zipcode 34241 e. None of the above,"a,b,c,d"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Renville County Minnesota in relation to Zipcode 55335 in terms of geography. Options: a. north of b. contains c. southwest of d. adjacent to and northwest of e. none of the above,d
yes/no,Is Zipcode 29456 east of Zipcode 29472?,yes
yes/no,Is Mineral County Montana west of Zipcode 83837?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 83607 in relation to Zipcode 83626 in terms of geography. Options: a. adjacent to and northeast of b. inside of c. adjacent to and west of d. southeast of e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 13060 in relation to Zipcode 13108 in terms of geography. Options: a. adjacent to and northwest of b. east of c. contains d. adjacent to and south of e. none of the above,a
yes/no,Is Zipcode 54457 east of Zipcode 54466?,yes
checkbox,Query: Select all options that are adjacent to and southeast of Zipcode 67442? You may choose one or more options. Options: a. Zipcode 67456 b. Zipcode 67464 c. Zipcode 67425 d. Zipcode 67401 e. None of the above,c
checkbox,Query: Select all options that are adjacent to and north of Calvert County Maryland? You may choose one or more options. Options: a. Zipcode 20733 b. Queen Anne's County Maryl c. Zipcode 20634 d. Zipcode 20626 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Sunflower County Mississippi in relation to Washington County Mississippi in terms of geography. Options: a. contains b. they intersect c. adjacent to and southeast of d. adjacent to and northeast of e. none of the above,d
yes/no,Is DuPage County Illinois adjacent to and east of Kane County Illinois?,yes
yes/no,Is Zipcode 60619 adjacent to and northeast of Zipcode 60649?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Bartow County Georgia in relation to Zipcode 30101 in terms of geography. Options: a. adjacent to and west of b. intersects with c. adjacent to and southwest of d. southeast of e. none of the above,b
yes/no,Is Zipcode 24343 adjacent to and east of Zipcode 24352?,no
checkbox,Query: Select all options that are east of Johnson County Missouri? You may choose one or more options. Options: a. Zipcode 64134 b. Zipcode 64034 c. Zipcode 64149 d. Saline County Missouri e. None of the above,"a,b,c"
checkbox,Query: Select all options that are southeast of Oglethorpe County Georgia? You may choose one or more options. Options: a. Morgan County Georgia b. Zipcode 30667 c. Zipcode 30669 d. Zipcode 30605 e. None of the above,e
checkbox,Query: Select all options that are adjacent to and northeast of Zipcode 21912? You may choose one or more options. Options: a. Zipcode 21913 b. Zipcode 21901 c. Zipcode 21930 d. Zipcode 21915 e. None of the above,c
yes/no,Is Zipcode 30173 northwest of Zipcode 30165?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Sussex County Delaware in relation to Zipcode 19931 in terms of geography. Options: a. contains b. adjacent to and north of c. adjacent to and west of d. southwest of e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Griggs County North Dakota in relation to Stutsman County North Dakota in terms of geography. Options: a. inside of b. adjacent to and west of c. adjacent to and southeast of d. adjacent to and northwest of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Saint Francois County Missouri in relation to Zipcode 63637 in terms of geography. Options: a. adjacent to and south of b. adjacent to and northeast of c. adjacent to and northwest of d. contains e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Mahaska County Iowa in relation to Keokuk County Iowa in terms of geography. Options: a. northeast of b. southeast of c. adjacent to and west of d. inside of e. none of the above,c
checkbox,Query: Select all options that are southwest of Zipcode 92259? You may choose one or more options. Options: a. Zipcode 92273 b. Zipcode 92251 c. Zipcode 92231 d. Zipcode 92227 e. None of the above,d
yes/no,Is Oconee County Georgia east of Zipcode 30620?,yes
yes/no,Is Zipcode 10579 adjacent to and south of Zipcode 10547?,no
checkbox,Query: Select all options that are southeast of Waller County Texas? You may choose one or more options. Options: a. Zipcode 77494 b. Zipcode 77355 c. Zipcode 77833 d. Zipcode 77473 e. None of the above,c
yes/no,Is Zipcode 77362 adjacent to and northwest of Zipcode 77375?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 53185 in relation to Zipcode 53150 in terms of geography. Options: a. inside of b. adjacent to and southwest of c. northwest of d. west of e. none of the above,b
checkbox,Query: Select all options that are southeast of The State of North Carolina? You may choose one or more options. Options: a. Zipcode 27843 b. Zipcode 28611 c. Zipcode 30573 d. Zipcode 28781 e. None of the above,e
yes/no,"The State of Minnesota contains Zipcode 55376, correct?",yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of North Carolina in relation to Zipcode 28587 in terms of geography. Options: a. northwest of b. adjacent to and west of c. southeast of d. adjacent to and south of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 52132 in relation to Zipcode 52161 in terms of geography. Options: a. they intersect b. adjacent to and west of c. adjacent to and northwest of d. east of e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Plymouth County Massachusetts in relation to Zipcode 02717 in terms of geography. Options: a. adjacent to and northeast of b. east of c. inside of d. northwest of e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 02769 in relation to Zipcode 02715 in terms of geography. Options: a. adjacent to and south of b. northwest of c. adjacent to and southeast of d. adjacent to and west of e. none of the above,d
yes/no,Is Zipcode 33919 northwest of Zipcode 33993?,no
checkbox,Query: Select all options that are adjacent to and southwest of Bartow County Georgia? You may choose one or more options. Options: a. The State of Georgia b. Zipcode 30139 c. Zipcode 30114 d. Zipcode 30102 e. None of the above,e
checkbox,Query: Select all options that are north of Clarke County Virginia? You may choose one or more options. Options: a. Zipcode 21716 b. The State of West Virginia c. Zipcode 20184 d. Zipcode 20144 e. None of the above,d
checkbox,Query: Select all options that are adjacent to and east of Zipcode 11975? You may choose one or more options. Options: a. Zipcode 11962 b. Zipcode 11932 c. Zipcode 11937 d. Zipcode 11963 e. None of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 43443 in relation to Zipcode 43430 in terms of geography. Options: a. southwest of b. adjacent to and northwest of c. they intersect d. adjacent to and southeast of e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 27519 in relation to Zipcode 27713 in terms of geography. Options: a. adjacent to and northwest of b. adjacent to and southwest of c. adjacent to and east of d. south of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 79789 in relation to Zipcode 79772 in terms of geography. Options: a. northeast of b. adjacent to and southwest of c. contains d. east of e. none of the above,a
yes/no,Is Los Angeles County California northwest of Zipcode 92618?,yes
yes/no,Is Zipcode 53048 adjacent to and northwest of Zipcode 53006?,no
yes/no,Is Audrain County Missouri west of Zipcode 63381?,yes
checkbox,Query: Select all options that are northeast of The State of New York? You may choose one or more options. Options: a. Zipcode 17728 b. Zipcode 17727 c. Zipcode 16922 d. Zipcode 16055 e. None of the above,"a,b,c,d"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 62095 in relation to Zipcode 62025 in terms of geography. Options: a. adjacent to and northwest of b. contains c. southwest of d. inside of e. none of the above,e
checkbox,Query: Select all options that are adjacent to and west of The State of Texas? You may choose one or more options. Options: a. Zipcode 74850 b. Zipcode 78414 c. Zipcode 78072 d. Zipcode 87001 e. None of the above,e
checkbox,Query: Select all options that are adjacent to and southeast of The State of Colorado? You may choose one or more options. Options: a. Zipcode 81220 b. Zipcode 81505 c. Zipcode 73947 d. Zipcode 81132 e. None of the above,e
yes/no,Is Leon County Texas adjacent to and south of Madison County Texas?,no
yes/no,Is Zipcode 48422 adjacent to and southeast of Zipcode 48032?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 67846 in relation to Zipcode 67867 in terms of geography. Options: a. they intersect b. adjacent to and north of c. southeast of d. adjacent to and south of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of Illinois in relation to Zipcode 62070 in terms of geography. Options: a. adjacent to and south of b. contains c. adjacent to and northwest of d. adjacent to and north of e. none of the above,b
checkbox,Query: Select all options that are east of The State of North Dakota? You may choose one or more options. Options: a. Zipcode 58301 b. Zipcode 58045 c. Zipcode 58212 d. Zipcode 59324 e. None of the above,d
yes/no,Is Hall County Nebraska adjacent to and north of Howard County Nebraska?,no
yes/no,"New York County New York contains Zipcode 10016, correct?",yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Orange County New York in relation to Zipcode 18328 in terms of geography. Options: a. adjacent to and northeast of b. inside of c. east of d. south of e. none of the above,c
yes/no,Is Zipcode 28337 adjacent to and west of Zipcode 28392?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 59201 in relation to Zipcode 59259 in terms of geography. Options: a. adjacent to and south of b. contains c. southeast of d. northwest of e. none of the above,d
checkbox,Query: Select all options that are adjacent to and west of Zipcode 35805? You may choose one or more options. Options: a. Zipcode 35801 b. Zipcode 35806 c. Zipcode 35808 d. Zipcode 35802 e. None of the above,a
yes/no,Is Zipcode 57719 adjacent to and north of Zipcode 57703?,yes
yes/no,Is Zipcode 76832 adjacent to and west of Zipcode 76869?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 57335 in relation to Zipcode 68722 in terms of geography. Options: a. inside of b. adjacent to and southwest of c. southeast of d. adjacent to and northeast of e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Camden County New Jersey in relation to Zipcode 08103 in terms of geography. Options: a. northwest of b. adjacent to and south of c. adjacent to and east of d. contains e. none of the above,d
yes/no,Is Zipcode 41234 adjacent to and northeast of Zipcode 41271?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Ward County North Dakota in relation to Zipcode 58705 in terms of geography. Options: a. adjacent to and southwest of b. contains c. adjacent to and north of d. inside of e. none of the above,b
checkbox,Query: Select all options that are adjacent to and northwest of Bradford County Pennsylvania? You may choose one or more options. Options: a. Zipcode 18843 b. Zipcode 16929 c. Zipcode 14858 d. Zipcode 18625 e. None of the above,e
checkbox,Query: Select all options that are adjacent to and northeast of Moody County South Dakota? You may choose one or more options. Options: a. Zipcode 56134 b. Zipcode 57057 c. Zipcode 57002 d. Lincoln County Minnesota e. None of the above,e
checkbox,Query: Select all options that are northeast of Adams County Pennsylvania? You may choose one or more options. Options: a. Zipcode 17254 b. Zipcode 17316 c. Zipcode 17268 d. Dauphin County Pennsylvania e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of Texas in relation to Zipcode 76085 in terms of geography. Options: a. contains b. west of c. they intersect d. north of e. none of the above,a
checkbox,Query: Select all options that are adjacent to and northeast of Zipcode 30733? You may choose one or more options. Options: a. Zipcode 30165 b. Zipcode 30103 c. Zipcode 30161 d. Zipcode 30701 e. None of the above,"a,c"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 46711 in relation to Zipcode 46740 in terms of geography. Options: a. adjacent to and northeast of b. southeast of c. east of d. inside of e. none of the above,a
checkbox,Query: Select all options that are southeast of Jefferson Davis Parish Louisiana? You may choose one or more options. Options: a. Acadia Parish Louisiana b. Zipcode 70647 c. Zipcode 70607 d. Zipcode 70515 e. None of the above,e
yes/no,Is Allegany County New York adjacent to and south of Zipcode 16748?,no
checkbox,Query: Select all options that are northeast of Zipcode 99519? You may choose one or more options. Options: a. Zipcode 99781 b. Zipcode 99510 c. Zipcode 99734 d. Zipcode 99701 e. None of the above,d
yes/no,Is Johnson County Wyoming adjacent to and northwest of Zipcode 82833?,no
checkbox,Query: Select all options that are adjacent to and northwest of Zipcode 49321? You may choose one or more options. Options: a. Zipcode 49341 b. Zipcode 49544 c. Zipcode 49306 d. Zipcode 49534 e. None of the above,e
yes/no,Is Zipcode 68735 adjacent to and south of Zipcode 68766?,yes
yes/no,Is Zipcode 59078 adjacent to and west of Zipcode 59036?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 53532 in relation to Zipcode 53590 in terms of geography. Options: a. inside of b. adjacent to and west of c. adjacent to and east of d. adjacent to and southeast of e. none of the above,b
yes/no,Is Zipcode 73552 adjacent to and west of Zipcode 73566?,no
checkbox,Query: Select all options that are southwest of The State of Wisconsin? You may choose one or more options. Options: a. Zipcode 52169 b. Zipcode 54001 c. Zipcode 50674 d. Zipcode 53523 e. None of the above,e
checkbox,Query: Select all options that are southwest of Zipcode 73622? You may choose one or more options. Options: a. Zipcode 73024 b. Zipcode 73647 c. Zipcode 73632 d. Zipcode 73601 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 35763 in relation to Zipcode 35741 in terms of geography. Options: a. north of b. adjacent to and south of c. adjacent to and southwest of d. adjacent to and east of e. none of the above,b
checkbox,Query: Select all options that are adjacent to and west of Barron County Wisconsin? You may choose one or more options. Options: a. Rusk County Wisconsin b. Zipcode 54853 c. Zipcode 54895 d. Zipcode 54822 e. None of the above,"a,c"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Upton County Texas in relation to Zipcode 79752 in terms of geography. Options: a. southeast of b. contains c. adjacent to and north of d. adjacent to and south of e. none of the above,b
yes/no,Is Zipcode 20612 adjacent to and east of Zipcode 20637?,yes
checkbox,Query: Select all options that are adjacent to and southeast of Rowan County Kentucky? You may choose one or more options. Options: a. Zipcode 41093 b. Fleming County Kentucky c. The State of Virginia d. Lawrence County Kentucky e. None of the above,"a,b"
checkbox,Query: Select all options that are inside of Armstrong County Pennsylvania? You may choose one or more options. Options: a. Zipcode 15783 b. Zipcode 16236 c. Zipcode 15920 d. Zipcode 15756 e. None of the above,e
yes/no,Is Zipcode 98277 adjacent to and southeast of Zipcode 98278?,yes
yes/no,"Eaton County Michigan has no common ground with Zipcode 48837, correct?",no
checkbox,Query: Select all options that are adjacent to and northeast of Zipcode 35136? You may choose one or more options. Options: a. Zipcode 35046 b. Zipcode 36091 c. Zipcode 36026 d. Zipcode 35089 e. None of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 12997 in relation to Zipcode 12913 in terms of geography. Options: a. adjacent to and northwest of b. adjacent to and west of c. adjacent to and southeast of d. adjacent to and east of e. none of the above,d
checkbox,Query: Select all options that are adjacent to and southeast of The State of Illinois? You may choose one or more options. Options: a. Zipcode 52653 b. Zipcode 61369 c. Zipcode 53586 d. Zipcode 52801 e. None of the above,"a,c,d"
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of Kentucky in relation to Zipcode 24277 in terms of geography. Options: a. northeast of b. adjacent to and west of c. adjacent to and northeast of d. east of e. none of the above,b
yes/no,Is Zipcode 43060 southwest of Zipcode 43078?,no
yes/no,Is The State of Massachusetts west of Zipcode 06112?,no
checkbox,Query: Select all options that are southwest of The State of New Jersey? You may choose one or more options. Options: a. Zipcode 18101 b. Zipcode 18424 c. Zipcode 08234 d. Zipcode 07650 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of New Hampshire in relation to Zipcode 03832 in terms of geography. Options: a. northwest of b. adjacent to and southeast of c. contains d. northeast of e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 71747 in relation to Zipcode 71635 in terms of geography. Options: a. southeast of b. adjacent to and northeast of c. northeast of d. adjacent to and south of e. none of the above,e
checkbox,Query: Select all options that are adjacent to and east of Zipcode 71961? You may choose one or more options. Options: a. Zipcode 72926 b. Zipcode 71960 c. Zipcode 72950 d. Zipcode 71965 e. None of the above,e
checkbox,Query: Select all options that are west of Zipcode 01080? You may choose one or more options. Options: a. Zipcode 01079 b. Zipcode 01069 c. Zipcode 01009 d. Zipcode 01056 e. None of the above,a
checkbox,Query: Select all options that are adjacent to and northeast of Searcy County Arkansas? You may choose one or more options. Options: a. Zipcode 72685 b. Zipcode 72519 c. Zipcode 72843 d. Newton County Arkansas e. None of the above,c
checkbox,Query: Select all options that are adjacent to and south of Perry County Kentucky? You may choose one or more options. Options: a. Zipcode 41339 b. Zipcode 41776 c. Zipcode 41701 d. Leslie County Kentucky e. None of the above,a
yes/no,Is Grafton County New Hampshire west of Zipcode 05070?,no
checkbox,Query: Select all options that are adjacent to and northwest of Zipcode 99006? You may choose one or more options. Options: a. Zipcode 99148 b. Zipcode 99110 c. Zipcode 99026 d. Zipcode 99156 e. None of the above,e
checkbox,Query: Select all options that are north of Craig County Virginia? You may choose one or more options. Options: a. Montgomery County Virginia b. Zipcode 24970 c. Zipcode 24016 d. Zipcode 24060 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Jay County Indiana in relation to Zipcode 46991 in terms of geography. Options: a. northwest of b. east of c. north of d. contains e. none of the above,b
checkbox,Query: Select all options that are adjacent to and north of Zipcode 68102? You may choose one or more options. Options: a. Zipcode 68178 b. Zipcode 68108 c. Zipcode 68131 d. Zipcode 68110 e. None of the above,b
checkbox,Query: Select all options that intersect with The State of Alabama? You may choose one or more options. Options: a. Zipcode 31905 b. Zipcode 36527 c. Zipcode 30165 d. Zipcode 36567 e. None of the above,"a,c"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Phillips County Colorado in relation to Zipcode 80746 in terms of geography. Options: a. southeast of b. contains c. adjacent to and south of d. adjacent to and southwest of e. none of the above,b
checkbox,Query: Select all options that are adjacent to and north of Zipcode 30064? You may choose one or more options. Options: a. Zipcode 30066 b. Zipcode 30141 c. Zipcode 30062 d. Zipcode 30008 e. None of the above,e
yes/no,Is Zipcode 00927 adjacent to and northeast of Zipcode 00925?,no
checkbox,Query: Select all options that are southeast of Zipcode 52136? You may choose one or more options. Options: a. Zipcode 50628 b. Zipcode 52132 c. Zipcode 52163 d. Zipcode 52154 e. None of the above,e
yes/no,Is Zipcode 63565 west of Zipcode 63561?,yes
checkbox,Query: Select all options that are adjacent to and west of Zipcode 78729? You may choose one or more options. Options: a. Zipcode 78717 b. Zipcode 78759 c. Zipcode 78750 d. Zipcode 78728 e. None of the above,d
checkbox,Query: Select all options that intersect with Harding County New Mexico? You may choose one or more options. Options: a. Zipcode 88434 b. Colfax County New Mexico c. The State of Texas d. The State of New Mexico e. None of the above,e
checkbox,Query: Select all options that are adjacent to and south of Zipcode 28037? You may choose one or more options. Options: a. Zipcode 28006 b. Zipcode 28650 c. Zipcode 28078 d. Zipcode 28031 e. None of the above,e
yes/no,Is Zipcode 18853 southeast of Zipcode 18850?,yes
yes/no,Is Dallas County Texas west of Zipcode 76115?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 57242 in relation to Zipcode 57201 in terms of geography. Options: a. adjacent to and north of b. northeast of c. adjacent to and southwest of d. southwest of e. none of the above,c
yes/no,Is Amherst County Virginia southwest of Zipcode 24556?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 99363 in relation to Zipcode 97838 in terms of geography. Options: a. adjacent to and south of b. north of c. northeast of d. adjacent to and northeast of e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 58455 in relation to Zipcode 58484 in terms of geography. Options: a. northwest of b. southeast of c. adjacent to and north of d. they intersect e. none of the above,e
checkbox,Query: Select all options that are adjacent to and south of Zipcode 74366? You may choose one or more options. Options: a. Zipcode 74338 b. Zipcode 74340 c. Zipcode 74342 d. Zipcode 74332 e. None of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Bergen County New Jersey in relation to Zipcode 07648 in terms of geography. Options: a. adjacent to and southeast of b. inside of c. adjacent to and south of d. contains e. none of the above,d
checkbox,Query: Select all options that are east of Okaloosa County Florida? You may choose one or more options. Options: a. Zipcode 32580 b. The State of Alabama c. Escambia County Alabama d. Zipcode 32542 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Richmond city Virginia in relation to Zipcode 23223 in terms of geography. Options: a. adjacent to and north of b. contains c. intersects with d. north of e. none of the above,c
yes/no,Is Zipcode 56303 adjacent to and south of Zipcode 56301?,no
yes/no,Is Huntingdon County Pennsylvania southeast of Zipcode 17265?,no
